Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera utara - kota tebing tinggi,6,0.00,9.49,13.91,0.00,28.45,10.88,0.04,71.63,10.40,77.31,79,
sumatera utara - kota padang sidimpuan,6,0.00,6.85,25.93,0.29,37.86,11.11,0.14,70.20,26.10,71.32,90,
sumatera utara - kota gunungsitoli,5,0.00,14.78,15.08,0.67,20.47,8.52,0.25,72.09,18.90,66.12,93,
sumatera barat - pesisir selatan,6,0.40,7.34,26.99,0.31,15.76,9.13,2.78,71.52,27.00,86.71,42,
sumatera barat - solok,6,0.35,7.13,37.82,0.35,32.61,8.57,3.29,69.56,25.40,82.56,113,
sumatera barat - sijunjung,6,0.65,5.88,23.02,0.86,27.30,9.23,3.62,67.02,28.50,82.05,120,
sumatera barat - tanah datar,6,0.32,4.16,26.46,0.27,15.74,9.56,1.37,70.84,18.50,89.40,10,
sumatera barat - padang pariaman,6,0.51,6.34,28.73,0.32,23.54,8.86,0.92,69.70,19.40,85.08,71,
sumatera barat - agam,6,0.52,6.60,32.01,0.64,20.57,9.63,1.95,73.23,20.10,86.92,39,
sumatera barat - lima puluh kota,6,0.41,6.80,30.94,0.05,33.84,8.37,3.12,70.30,28.60,82.59,111,
sumatera barat - pasaman,6,0.31,6.80,33.30,0.50,33.26,8.37,2.69,68.29,29.40,82.09,119,
sumatera barat - kepulauan mentawai,3,2.94,13.72,37.25,10.40,72.89,7.85,8.11,65.10,33.70,53.86,370,
sumatera barat - dharmasraya,6,0.95,5.56,11.88,0.17,26.93,9.23,2.33,72.24,17.70,84.98,72,
sumatera barat - solok selatan,6,0.40,6.45,25.51,0.35,26.75,9.36,6.80,68.71,14.70,85.60,63,
sumatera barat - pasaman barat,6,0.61,6.92,33.27,0.24,34.36,9.69,2.10,68.53,29.70,80.91,146,
sumatera barat - kota padang,6,0.00,4.17,7.42,0.00,4.19,11.60,0.10,74.16,24.20,89.63,22,
sumatera barat - kota solok,6,0.00,3.05,11.90,0.00,2.11,11.27,0.05,74.39,16.30,92.90,4,
sumatera barat - kota sawahlunto,6,0.00,2.27,13.74,0.17,6.49,10.45,0.44,70.69,19.50,83.45,57,
sumatera barat - kota padang panjang,6,0.00,5.24,10.21,0.45,12.33,12.23,0.05,73.23,15.80,87.05,40,
sumatera barat - kota bukittinggi,6,0.00,4.11,10.18,0.00,2.64,11.77,0.02,75.13,20.10,92.86,5,
sumatera barat - kota payakumbuh,6,0.00,5.44,16.04,0.00,3.37,11.25,0.09,74.43,19.80,89.33,23,
sumatera barat - kota pariaman,6,0.00,4.20,26.37,0.00,14.32,10.93,0.07,70.95,17.70,84.08,53,
riau - kampar,4,5.00,7.04,21.64,0.00,24.67,9.44,4.21,71.42,7.60,59.69,355,
riau - indragiri hulu,4,5.00,6.06,15.17,1.01,16.34,8.61,5.19,70.69,12.70,60.71,349,
riau - bengkalis,4,3.61,6.31,24.31,0.18,36.88,9.51,4.00,71.79,17.90,65.75,329,
riau - indragiri hilir,5,1.55,5.64,34.72,4.18,73.12,7.77,5.86,68.62,18.80,69.30,310,
riau - pelalawan,5,3.25,8.15,20.69,0.52,13.63,9.07,7.97,72.00,10.10,71.59,293,
riau - rokan hulu,3,5.00,9.72,23.88,0.64,15.70,9.26,4.42,70.84,15.90,58.88,359,
riau - rokan hilir,5,3.06,7.07,19.09,0.13,37.28,8.89,3.59,70.99,16.60,68.67,313,
riau - siak,6,2.80,5.23,14.74,0.00,9.90,10.01,4.77,71.64,10.40,77.06,221,
riau - kuantan singingi,5,2.16,8.07,16.05,0.70,28.94,9.01,4.29,69.13,23.00,73.80,269,
riau - kepulauan meranti,5,0.09,22.98,18.34,1.90,89.58,8.47,5.21,68.41,19.60,71.15,298,
riau - kota pekanbaru,6,0.00,3.16,7.97,0.00,7.83,11.82,0.08,73.02,8.70,92.20,8,
riau - kota dumai,6,0.00,3.21,10.64,0.79,13.10,10.35,1.18,71.67,14.90,76.30,82,
jambi - kerinci,6,0.50,7.54,32.30,3.27,32.30,8.25,3.39,70.55,8.70,83.76,91,
