Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa timur - ponorogo,6,0.28,9.53,15.69,0.00,17.71,7.63,0.49,73.55,16.10,88.74,16,
jawa timur - trenggalek,6,0.62,10.63,26.13,0.00,36.23,7.80,0.68,74.64,15.80,83.17,101,
jawa timur - tulungagung,6,0.56,6.53,18.24,0.00,25.05,8.72,0.29,74.91,21.50,87.35,32,
jawa timur - blitar,6,0.64,8.69,19.47,0.00,18.29,7.95,0.71,74.34,20.30,86.43,48,
jawa timur - kediri,6,0.95,10.72,28.60,0.00,31.55,8.37,0.46,73.27,16.80,81.19,140,
jawa timur - malang,6,1.06,9.45,27.48,0.00,28.02,7.97,0.53,73.26,19.50,81.09,144,
jawa timur - lumajang,6,0.55,8.93,43.77,0.14,33.64,7.36,0.62,70.96,29.90,79.58,175,
jawa timur - jember,6,0.62,9.51,36.98,0.02,32.29,6.66,0.58,70.03,29.70,78.97,187,
jawa timur - banyuwangi,6,0.63,7.34,17.06,0.00,17.57,7.82,0.92,71.38,21.90,85.77,57,
jawa timur - bondowoso,6,0.42,13.34,39.66,0.00,35.14,6.40,0.69,67.60,17.00,78.44,201,
jawa timur - situbondo,6,0.46,11.90,43.88,0.00,36.32,6.90,0.79,69.94,4.10,80.22,160,
jawa timur - probolinggo,5,0.67,17.19,33.96,0.00,34.59,6.49,0.71,68.12,35.40,74.22,262,
jawa timur - pasuruan,6,0.82,9.24,41.04,0.00,20.80,7.56,0.42,70.81,27.90,80.31,156,
jawa timur - sidoarjo,6,1.95,5.00,5.86,0.00,12.26,10.82,0.09,74.69,8.40,84.49,83,
jawa timur - mojokerto,6,0.52,9.80,33.45,0.03,11.52,9.09,0.30,73.25,16.20,87.32,34,
jawa timur - jombang,6,0.57,9.15,28.37,0.00,16.41,8.65,0.29,73.22,18.00,86.43,49,
jawa timur - nganjuk,6,0.40,10.89,27.56,0.00,26.30,8.27,0.52,72.28,17.10,84.88,75,
jawa timur - madiun,6,0.30,11.04,26.33,0.07,20.54,7.81,0.65,72.28,16.50,86.22,50,
jawa timur - magetan,6,0.35,9.80,19.18,0.00,17.53,8.48,0.38,73.29,19.20,87.98,21,
jawa timur - ngawi,6,0.18,14.40,30.59,0.00,11.10,7.81,0.56,73.20,14.00,87.53,28,
jawa timur - bojonegoro,6,0.29,12.18,25.62,0.00,10.93,7.44,0.67,72.57,14.10,87.63,27,
jawa timur - tuban,6,0.29,14.91,36.15,0.00,7.08,7.46,0.79,72.36,17.80,85.85,55,
jawa timur - lamongan,6,0.27,12.42,19.16,0.00,4.97,8.29,0.40,73.22,9.40,90.30,8,
jawa timur - gresik,6,0.52,10.96,11.86,0.00,0.79,10.20,0.27,73.30,15.40,90.90,5,
jawa timur - bangkalan,6,0.70,19.35,46.62,0.00,34.55,6.04,0.49,70.79,10.20,76.02,239,
jawa timur - sampang,6,0.47,21.76,40.16,0.00,11.31,5.46,0.55,68.64,14.10,78.97,188,
jawa timur - pamekasan,6,0.88,13.85,39.30,0.00,10.80,7.28,0.32,68.31,25.10,79.08,184,
jawa timur - sumenep,6,0.41,18.70,48.08,0.25,21.19,5.70,0.66,72.47,16.70,79.77,169,
jawa timur - kota kediri,6,0.00,7.15,6.55,0.00,40.23,10.77,0.02,74.67,18.60,76.67,80,
jawa timur - kota blitar,6,0.00,7.30,7.68,0.00,27.37,10.87,0.03,74.66,17.70,80.80,67,
jawa timur - kota malang,6,0.00,4.26,3.56,0.00,11.17,11.19,0.02,74.13,17.30,88.76,27,
jawa timur - kota probolinggo,6,0.00,6.48,1.91,0.00,8.81,9.60,0.05,70.99,31.80,78.62,75,
jawa timur - kota pasuruan,6,0.00,6.60,20.68,0.00,8.66,9.73,0.04,72.31,11.70,84.16,52,
jawa timur - kota mojokerto,6,0.00,5.77,4.97,0.00,9.94,11.32,0.01,74.10,11.00,89.30,24,
jawa timur - kota madiun,6,0.00,4.74,5.71,0.00,1.25,11.53,0.02,73.44,12.80,92.29,7,
jawa timur - kota surabaya,6,0.00,4.65,7.30,0.00,0.00,10.71,0.02,74.75,1.60,93.06,3,
jawa timur - kota batu,6,0.00,3.31,8.16,0.00,20.60,10.05,0.19,73.29,23.10,81.31,64,
banten - pandeglang,5,0.49,9.27,30.55,0.00,53.73,7.26,1.14,65.58,28.60,75.63,246,
banten - lebak,5,0.64,8.68,47.81,1.45,58.52,6.95,1.01,68.13,35.50,72.76,281,
banten - tangerang,6,2.07,6.93,17.09,0.22,13.62,9.16,0.11,70.65,26.40,77.60,212,
banten - serang,6,0.69,4.85,27.42,0.00,27.36,8.14,0.50,65.60,23.90,81.39,133,
banten - kota tangerang,6,0.00,5.89,5.58,0.00,7.38,10.76,0.02,72.24,17.60,85.92,43,
banten - kota cilegon,6,0.00,3.98,7.45,0.00,11.17,10.32,0.08,67.39,22.00,80.12,72,
banten - kota serang,6,0.00,6.20,27.38,0.00,25.44,8.72,0.10,68.98,22.30,71.95,89,
banten - kota tangerang selatan,6,0.00,2.57,1.43,0.00,20.29,11.44,0.02,73.11,9.20,88.67,29,
bali - jembrana,6,0.92,4.96,11.73,0.00,18.29,8.40,0.77,73.20,8.70,87.64,26,
bali - tabanan,6,0.50,4.70,2.27,0.00,15.09,9.00,0.35,74.48,6.30,92.51,3,
bali - badung,6,1.01,2.30,1.49,0.00,7.11,10.88,0.09,75.88,4.90,92.90,1,
bali - gianyar,6,0.79,4.47,1.25,0.00,5.08,9.66,0.13,74.52,6.30,92.77,2,
bali - klungkung,6,0.96,5.61,9.29,0.00,13.91,8.09,0.21,72.28,4.90,87.47,31,
bali - bangli,6,1.87,5.28,15.30,0.00,37.96,7.67,0.34,71.33,10.20,77.19,218,
bali - karangasem,6,1.02,6.56,4.99,0.53,24.50,6.22,0.60,71.25,6.40,83.97,89,
bali - buleleng,6,1.50,5.85,11.69,0.24,16.00,7.35,0.55,72.70,6.20,83.26,98,
bali - kota denpasar,6,0.00,2.68,2.00,0.00,0.49,11.37,0.01,75.69,10.80,96.37,1,
nusa tenggara barat - lombok barat,6,0.84,13.67,55.25,0.00,28.81,7.24,0.52,68.08,19.90,75.74,244,
nusa tenggara barat - lombok tengah,6,0.48,12.93,47.99,0.06,22.48,6.97,0.37,67.12,17.60,79.50,177,
nusa tenggara barat - lombok timur,5,0.80,15.63,52.77,0.34,35.08,7.59,0.35,66.95,27.60,73.32,273,
nusa tenggara barat - sumbawa,6,0.19,13.91,25.20,0.00,7.04,8.83,2.41,68.54,25.70,85.82,56,
nusa tenggara barat - dompu,6,0.22,12.62,44.04,0.21,37.61,9.07,1.26,67.76,12.40,81.24,135,
nusa tenggara barat - bima,6,0.24,14.39,54.15,0.14,25.58,8.83,1.41,67.27,36.70,78.26,205,
nusa tenggara barat - sumbawa barat,6,0.29,12.95,34.31,0.00,9.76,8.88,1.83,69.20,10.50,86.47,47,
nusa tenggara barat - lombok utara,5,0.81,25.80,51.81,0.00,37.84,6.36,0.87,68.17,33.50,68.39,316,
nusa tenggara barat - kota mataram,6,0.00,8.62,28.65,0.00,6.16,9.45,0.01,72.55,25.60,80.15,71,
nusa tenggara barat - kota bima,6,0.00,8.67,29.57,0.00,16.57,10.82,0.19,71.19,31.80,75.53,84,
nusa tenggara timur - kupang,5,0.70,21.78,39.81,6.77,35.11,7.85,3.69,65.64,38.40,70.45,303,
nusa tenggara timur - timor tengah selatan,4,0.99,25.18,36.21,9.06,32.28,7.49,2.37,66.89,50.10,67.02,320,
nusa tenggara timur - timor tengah utara,5,0.73,21.85,33.79,2.28,24.02,8.48,1.63,67.61,42.70,73.61,271,
nusa tenggara timur - belu,5,1.08,14.30,22.30,3.45,36.62,7.65,0.96,65.63,48.10,71.21,297,
nusa tenggara timur - alor,4,1.26,19.97,39.29,1.94,55.04,8.26,1.87,62.35,39.30,63.81,333,
nusa tenggara timur - flores timur,5,2.11,11.77,25.80,1.52,27.31,7.91,1.05,65.96,37.20,68.61,314,
nusa tenggara timur - sikka,6,1.02,12.56,22.76,5.40,20.42,7.32,0.90,68.30,33.30,77.22,216,
nusa tenggara timur - ende,5,1.21,22.86,23.22,0.38,21.14,8.51,1.11,66.12,27.50,72.93,279,
nusa tenggara timur - ngada,6,0.46,12.06,22.77,4.25,24.86,9.01,1.45,68.71,21.30,82.72,108,
nusa tenggara timur - manggarai,6,0.70,19.69,36.41,2.69,17.70,7.83,0.59,67.63,36.80,75.69,245,
nusa tenggara timur - sumba timur,5,0.58,28.08,22.23,3.08,43.49,8.11,4.48,65.82,26.30,70.98,299,
nusa tenggara timur - sumba barat,5,0.75,27.17,15.92,12.97,26.10,7.33,0.89,67.57,42.50,71.31,295,
nusa tenggara timur - lembata,5,1.00,24.78,25.43,1.68,37.63,7.68,1.47,67.87,35.10,70.11,305,
nusa tenggara timur - rote ndao,5,0.77,27.05,23.89,1.36,26.04,8.03,1.62,65.60,39.80,71.27,296,
nusa tenggara timur - manggarai barat,6,0.39,16.82,20.85,3.06,32.38,8.20,1.91,68.00,36.20,78.00,208,
nusa tenggara timur - nagekeo,5,1.04,12.33,23.37,1.01,43.78,8.29,1.56,67.91,24.90,75.20,252,
nusa tenggara timur - sumba tengah,4,0.51,31.78,30.67,13.09,57.42,7.40,2.89,68.87,39.50,65.96,325,
nusa tenggara timur - sumba barat daya,4,0.59,27.48,58.64,19.70,63.65,6.95,1.14,68.99,44.30,62.53,337,
nusa tenggara timur - manggarai timur,4,0.62,25.06,56.80,10.11,48.86,8.22,1.22,68.49,43.70,66.92,322,
nusa tenggara timur - sabu raijua,3,1.74,28.37,44.80,5.35,53.35,7.47,0.92,61.06,36.90,56.66,363,
nusa tenggara timur - malaka,5,0.65,14.42,32.26,4.67,43.40,7.42,0.90,65.67,47.70,71.78,291,
nusa tenggara timur - kota kupang,6,0.00,8.61,3.27,0.03,21.61,11.36,0.04,70.52,29.90,75.94,83,
kalimantan barat - sambas,5,0.64,7.08,28.22,0.19,92.51,6.71,3.67,69.76,30.80,70.83,300,
kalimantan barat - mempawah,5,0.90,5.21,24.36,0.00,81.54,7.70,2.55,71.74,27.20,73.85,265,
kalimantan barat - sanggau,6,1.24,4.79,16.64,1.52,43.57,7.70,9.04,71.77,22.10,78.51,198,
kalimantan barat - ketapang,6,1.07,9.25,18.44,2.37,45.82,8.05,12.71,71.45,0.00,77.17,219,
kalimantan barat - sintang,6,1.47,8.18,18.86,5.32,38.35,7.89,12.07,72.41,24.80,76.17,238,
kalimantan barat - kapuas hulu,5,1.72,8.16,26.33,3.10,41.91,8.16,22.35,72.88,16.70,74.43,260,
kalimantan barat - bengkayang,6,0.82,6.28,17.73,2.75,40.03,8.15,4.09,74.20,32.70,81.24,136,
kalimantan barat - landak,6,0.61,9.97,33.52,5.47,54.82,7.60,7.32,73.77,31.00,76.96,225,
kalimantan barat - sekadau,5,1.26,5.90,35.61,4.31,67.93,7.18,7.16,72.74,12.20,73.84,266,
kalimantan barat - melawi,3,3.42,11.12,34.36,6.43,46.91,7.63,10.67,73.32,35.30,59.56,357,
kalimantan barat - kayong utara,6,0.61,9.13,17.39,0.72,60.21,6.58,7.70,69.22,22.90,76.53,235,
kalimantan barat - kubu raya,5,1.73,4.23,16.21,0.00,85.45,7.50,5.49,71.26,25.40,68.90,312,
kalimantan barat - kota pontianak,6,0.00,4.45,6.60,0.00,57.92,10.34,0.03,73.87,16.70,72.55,88,
kalimantan barat - kota singkawang,5,0.00,4.70,7.58,0.07,47.34,8.50,0.30,72.81,20.10,68.27,91,
kalimantan  tengah - kotawaringin barat,4,5.00,4.18,7.02,0.02,13.52,8.94,8.01,71.28,17.90,62.27,340,
kalimantan  tengah - kotawaringin timur,5,2.21,5.69,16.31,0.31,26.11,7.92,8.45,70.39,35.50,73.03,277,
kalimantan  tengah - kapuas,6,0.54,5.21,29.56,0.41,36.50,8.50,11.12,69.23,16.20,82.66,110,
kalimantan  tengah - barito selatan,4,2.96,4.72,35.87,0.24,34.12,9.40,6.39,67.75,23.90,67.09,318,
kalimantan  tengah - barito utara,6,1.41,5.35,24.59,3.01,19.30,8.95,9.96,71.68,15.30,81.65,127,
kalimantan  tengah - katingan,6,0.77,4.99,30.33,3.23,34.52,9.25,21.48,66.43,34.00,77.99,209,
kalimantan  tengah - seruyan,4,3.23,7.12,23.48,2.22,30.94,7.78,18.29,69.63,25.80,65.03,332,
kalimantan  tengah - sukamara,4,4.52,3.96,14.82,1.99,23.05,8.51,8.22,72.03,29.10,61.78,343,
kalimantan  tengah - lamandau,3,5.00,3.12,15.26,5.36,24.79,8.63,12.59,69.84,13.20,59.34,358,
kalimantan  tengah - gunung mas,3,5.00,5.47,24.12,0.26,43.53,9.48,10.31,70.96,12.90,56.38,365,
kalimantan  tengah - pulang pisau,6,0.28,4.58,30.84,0.00,44.92,8.58,14.03,68.60,24.00,81.88,123,
kalimantan  tengah - murung raya,2,5.00,6.44,33.75,4.61,49.56,8.38,23.69,69.94,21.00,51.29,379,
kalimantan  tengah - barito timur,6,1.00,6.63,17.84,0.05,33.78,9.96,4.63,68.91,21.70,81.16,141,
kalimantan  tengah - kota palangkaraya,6,0.00,3.44,8.28,0.00,8.72,11.69,1.13,73.70,28.00,80.69,68,
kalimantan selatan - tanah laut,6,0.85,3.73,24.16,0.00,28.97,8.09,2.79,70.11,41.70,80.59,153,
kalimantan selatan - kotabaru,5,2.18,4.32,20.48,0.00,22.59,7.66,8.06,69.77,20.10,75.34,249,
kalimantan selatan - banjar,6,0.89,2.44,21.36,0.10,28.92,8.18,2.01,68.01,30.10,81.54,128,
kalimantan selatan - barito kuala,6,0.29,4.60,38.49,0.43,35.70,7.90,2.63,66.80,15.90,82.85,106,
kalimantan selatan - tapin,6,0.32,3.19,22.17,0.18,24.05,8.13,2.40,71.16,14.40,88.58,17,
kalimantan selatan - hulu sungai selatan,6,0.47,4.01,24.06,0.11,30.53,8.19,1.31,66.90,25.40,83.19,100,
kalimantan selatan - hulu sungai tengah,6,0.42,5.84,43.54,0.08,40.01,8.46,1.25,66.86,13.00,81.30,134,
kalimantan selatan - hulu sungai utara,6,0.51,6.25,15.28,0.00,27.66,8.06,0.95,64.97,36.00,81.20,139,
kalimantan selatan - tabalong,6,0.76,5.77,19.86,0.10,20.34,9.21,3.12,71.28,18.10,85.94,53,
kalimantan selatan - tanah bumbu,6,1.36,4.12,17.12,0.00,11.33,8.53,2.95,70.94,25.10,83.15,102,
kalimantan selatan - balangan,6,1.00,5.22,15.66,0.18,12.79,8.36,2.35,68.40,33.40,82.70,109,
kalimantan selatan - kota banjarmasin,6,0.00,4.63,11.39,0.00,0.01,10.05,0.02,71.89,26.50,85.62,47,
kalimantan selatan - kota banjarbaru,6,0.00,3.92,7.25,0.00,13.93,11.05,0.18,72.62,12.40,86.34,42,
kalimantan timur - paser,6,1.68,9.11,16.65,0.00,16.49,9.35,7.27,72.99,22.40,80.04,166,
kalimantan timur - kutai kartanegara,6,1.08,7.61,9.85,0.03,2.51,9.15,10.69,72.75,17.60,87.17,36,
kalimantan timur - berau,6,1.90,5.54,4.81,0.00,6.56,9.54,14.55,72.41,23.00,81.91,122,
kalimantan timur - kutai barat,4,4.66,9.72,12.58,0.06,21.44,8.90,10.26,73.19,22.00,60.87,347,
kalimantan timur - kutai timur,4,4.78,9.06,6.75,0.66,12.47,9.40,13.67,73.57,29.00,61.64,344,
kalimantan timur - penajam paser utara,6,0.76,6.97,7.13,0.28,4.31,8.65,3.81,71.83,24.60,88.11,20,
kalimantan timur - mahakam ulu,3,5.00,11.38,22.33,1.04,12.76,9.10,47.25,72.46,0.00,56.53,364,
kalimantan timur - kota balikpapan,6,0.00,2.31,2.89,0.00,2.06,10.67,0.13,74.89,21.60,91.23,15,
kalimantan timur - kota samarinda,6,0.00,4.81,2.22,0.00,0.89,11.41,0.16,74.68,24.40,89.68,20,
kalimantan timur - kota bontang,6,0.00,4.11,4.02,0.23,0.01,11.12,0.13,74.67,27.40,88.89,25,
kalimantan utara - bulungan,6,2.19,8.99,9.75,0.00,18.80,9.06,13.78,72.78,22.60,76.61,232,
kalimantan utara - malinau,5,2.10,6.54,10.47,3.65,27.49,9.22,42.89,71.51,20.50,74.67,259,
kalimantan utara - nunukan,6,1.67,5.53,14.95,0.00,30.10,8.53,13.26,71.42,15.80,78.80,193,
kalimantan utara - tana tidung,4,5.00,4.62,10.31,3.24,16.79,8.66,10.43,71.53,15.10,61.25,346,
kalimantan utara - kota tarakan,6,0.00,6.10,4.34,0.00,3.61,10.57,0.17,74.08,14.80,87.53,36,
sulawesi utara - bolaang mongondow,6,0.34,7.37,33.54,0.00,28.53,8.81,3.02,70.07,24.80,84.02,88,
sulawesi utara - minahasa,6,1.71,6.87,24.85,0.00,20.89,10.61,0.71,71.82,23.10,79.61,173,
sulawesi utara - kepulauan sangihe,4,4.20,11.01,32.81,1.79,27.43,9.23,0.65,70.78,19.00,60.47,351,
sulawesi utara - kepulauan talaud,6,1.07,8.46,49.20,0.13,29.79,10.01,1.41,70.91,19.30,79.36,182,
sulawesi utara - minahasa selatan,5,2.26,8.89,41.07,0.00,21.34,9.76,2.02,70.71,26.40,72.82,280,
sulawesi utara - minahasa utara,6,2.20,6.65,35.63,0.32,10.85,10.49,0.78,71.99,10.90,78.79,196,
sulawesi utara - minahasa tenggara,6,1.88,11.84,47.24,0.21,13.73,9.18,1.40,70.86,15.00,75.82,241,
sulawesi utara - bolaang mongondow utara,6,0.75,7.90,37.95,0.21,26.84,8.92,2.91,68.33,27.80,80.12,164,
sulawesi utara - kep. siau tagulandang biaro,3,5.00,8.76,28.25,3.20,49.95,9.68,0.44,71.59,24.90,53.11,372,
sulawesi utara - bolaang mongondow timur,5,1.84,5.80,31.36,0.28,23.25,8.61,1.14,68.51,28.40,75.22,251,
sulawesi utara - bolaang mongondow selatan,5,1.42,12.04,42.53,0.28,27.48,8.65,3.16,64.95,33.00,71.81,290,
sulawesi utara - kota manado,6,0.00,5.79,14.92,0.00,2.91,11.25,0.03,72.50,21.80,87.56,35,
sulawesi utara - kota bitung,6,0.00,6.56,32.91,0.01,4.42,10.11,0.29,71.68,19.50,82.00,63,
sulawesi utara - kota tomohon,6,0.00,5.60,34.71,0.00,19.78,11.24,0.19,72.84,10.50,83.92,54,
sulawesi utara - kota kotamobagu,6,0.00,5.03,23.29,0.00,17.60,10.08,0.11,71.34,20.50,80.21,70,
sulawesi tengah - banggai,6,0.36,6.94,15.85,0.28,30.04,8.83,3.99,71.02,29.10,85.14,70,
sulawesi tengah - poso,6,0.44,15.16,16.07,0.20,15.74,9.53,5.38,71.33,26.50,84.60,82,
sulawesi tengah - donggala,5,0.86,16.25,24.07,3.42,39.70,8.20,4.74,67.86,34.10,73.97,264,
sulawesi tengah - tolitoli,6,0.72,12.85,8.90,1.44,31.23,8.87,2.60,66.78,29.00,79.39,181,
sulawesi tengah - buol,6,1.09,13.36,15.92,0.59,17.55,9.58,4.27,69.73,30.00,79.97,167,
sulawesi tengah - morowali,6,1.04,12.31,11.55,0.00,14.99,8.86,2.97,69.37,26.00,81.44,130,
sulawesi tengah - banggai kepulauan,4,3.01,12.90,26.64,2.19,14.24,8.79,2.79,66.87,27.70,66.50,324,
sulawesi tengah - parigi moutong,6,0.32,14.91,21.50,0.83,30.86,8.34,3.29,64.62,28.50,78.91,191,
sulawesi tengah - tojo una-una,5,1.77,16.74,22.58,2.08,13.32,8.93,4.41,66.41,21.30,73.78,270,
sulawesi tengah - sigi,6,0.46,12.83,22.59,0.49,43.58,9.39,4.20,70.35,26.40,80.06,165,
sulawesi tengah - banggai laut,3,5.00,14.15,26.33,4.72,25.14,8.61,0.96,66.08,25.60,51.91,377,
sulawesi tengah - morowali utara,6,0.63,12.85,21.62,0.37,26.66,8.88,8.65,69.97,24.70,81.21,137,
sulawesi tengah - kota palu,6,0.00,6.56,10.97,0.00,13.53,11.43,0.10,71.45,22.10,82.43,62,
sulawesi selatan - kepulauan selayar,5,2.11,12.27,37.76,0.12,14.34,8.62,0.77,69.04,31.30,72.03,286,
sulawesi selatan - bulukumba,6,0.34,7.22,26.79,1.76,22.48,8.38,0.51,68.84,33.70,83.73,93,
sulawesi selatan - bantaeng,6,0.44,9.18,27.72,0.00,12.43,7.53,0.28,71.11,15.80,86.59,45,
sulawesi selatan - jeneponto,6,0.41,13.06,25.78,0.27,11.07,7.75,0.39,66.99,36.30,81.67,126,
sulawesi selatan - takalar,6,0.41,8.29,20.56,0.00,10.38,8.00,0.27,67.90,35.40,84.63,81,
sulawesi selatan - gowa,6,0.32,7.42,18.94,0.00,20.29,8.84,0.74,70.89,21.10,87.53,29,
sulawesi selatan - sinjai,6,0.44,8.55,25.60,0.45,22.62,8.19,0.48,67.92,33.50,82.31,116,
sulawesi selatan - bone,6,0.16,10.53,5.79,0.65,22.10,7.85,1.26,67.85,26.00,85.66,60,
sulawesi selatan - maros,6,0.37,9.65,17.05,0.14,21.50,8.15,0.74,69.45,34.70,83.73,94,
sulawesi selatan - pangkajene dan kepulauan,6,0.56,13.40,13.98,1.87,24.18,8.87,0.40,67.36,30.00,81.00,145,
sulawesi selatan - barru,6,0.30,8.46,19.92,0.40,19.02,8.91,0.99,69.55,22.10,86.67,43,
sulawesi selatan - soppeng,6,0.14,7.48,13.73,0.50,22.95,8.58,0.86,70.50,24.00,87.90,23,
sulawesi selatan - wajo,6,0.11,6.73,18.54,0.01,20.04,7.98,1.47,68.10,27.40,86.65,44,
sulawesi selatan - sidenreng rappang,6,0.12,5.14,19.71,0.00,24.51,8.43,0.99,70.74,26.40,87.92,22,
sulawesi selatan - pinrang,6,0.17,8.90,28.67,0.26,22.62,8.82,0.91,70.49,17.60,86.94,38,
sulawesi selatan - enrekang,6,0.70,12.69,26.02,0.25,26.74,8.96,1.23,71.34,34.90,80.31,157,
sulawesi selatan - luwu,6,0.23,12.71,27.34,0.28,34.16,9.19,1.23,71.00,32.10,82.23,118,
sulawesi selatan - tana toraja,6,0.74,12.48,33.12,0.29,48.81,8.63,1.49,73.99,36.90,76.88,226,
sulawesi selatan - luwu utara,6,0.26,12.66,17.99,0.05,20.67,8.52,4.12,69.36,15.50,85.66,59,
sulawesi selatan - luwu timur,6,0.25,6.93,15.97,0.12,20.83,8.83,3.09,71.19,26.00,87.73,24,
sulawesi selatan - toraja utara,6,0.58,12.12,35.69,0.71,40.06,9.03,0.84,73.83,28.70,80.25,159,
sulawesi selatan - kota makassar,6,0.00,5.07,7.66,0.00,2.39,11.33,0.01,72.60,25.60,87.95,33,
sulawesi selatan - kota pare pare,6,0.00,5.34,8.34,0.63,6.50,10.82,0.07,71.78,26.70,82.76,61,
sulawesi selatan - kota palopo,6,0.00,7.69,16.23,0.04,3.66,11.29,0.14,71.39,25.50,83.05,59,
sulawesi  tenggara - kolaka,6,0.80,11.80,21.10,0.00,17.27,9.82,1.94,71.42,23.80,83.69,96,
sulawesi  tenggara - konawe,6,0.32,13.02,12.43,0.00,17.39,9.64,2.07,70.44,27.80,85.89,54,
sulawesi  tenggara - muna,5,2.03,14.07,20.23,0.34,27.59,8.24,0.83,70.56,29.20,71.93,287,
sulawesi  tenggara - buton,5,1.85,13.77,26.83,0.23,17.89,8.81,1.64,68.56,37.20,72.59,283,
sulawesi  tenggara - konawe selatan,6,0.64,11.26,15.02,0.01,10.60,8.71,3.16,71.02,33.60,84.41,85,
sulawesi  tenggara - bombana,6,0.41,10.73,24.82,0.28,5.66,8.39,3.27,69.34,30.40,85.33,67,
sulawesi  tenggara - wakatobi,4,3.54,14.81,14.16,0.42,30.22,8.62,0.50,70.72,31.90,62.54,336,
sulawesi  tenggara - kolaka utara,5,2.82,13.57,20.19,0.06,9.23,9.22,2.58,70.47,31.80,70.26,304,
sulawesi  tenggara - konawe utara,6,1.36,13.48,14.75,0.13,12.53,9.54,4.72,69.68,24.70,79.71,170,
sulawesi  tenggara - buton utara,6,0.97,14.06,13.11,0.67,11.93,8.94,2.36,71.02,33.90,81.40,132,
sulawesi  tenggara - kolaka timur,6,0.27,14.04,14.02,0.13,19.30,8.83,4.62,73.01,31.30,85.54,65,
sulawesi  tenggara - konawe kepulauan,3,5.00,15.90,14.47,0.00,21.11,9.33,1.80,68.52,31.30,54.01,369,
sulawesi  tenggara - muna barat,6,0.82,14.03,17.12,3.42,34.15,8.58,1.15,70.46,24.40,79.06,185,
sulawesi  tenggara - buton tengah,4,2.81,15.43,12.79,0.12,10.97,6.88,1.07,67.90,36.80,67.07,319,
sulawesi  tenggara - buton selatan,5,1.27,14.76,29.53,0.24,48.86,7.89,0.56,67.86,37.10,70.01,306,
sulawesi  tenggara - kota kendari,6,0.00,4.59,11.06,0.00,3.79,12.08,0.08,74.07,25.70,89.67,21,
sulawesi  tenggara - kota bau bau,6,0.00,7.53,5.94,0.09,5.69,11.10,0.24,71.51,29.70,80.49,69,
gorontalo - gorontalo,6,0.43,17.48,33.79,1.45,16.35,8.63,1.06,68.09,34.70,79.50,178,
gorontalo - boalemo,6,0.24,18.38,47.86,1.18,16.23,8.21,1.97,69.92,16.00,81.91,121,
gorontalo - bone bolango,6,0.80,15.51,33.85,0.42,11.21,8.91,1.84,69.24,27.10,80.32,155,
gorontalo - pahuwato,6,0.26,17.64,46.06,0.09,3.40,8.28,4.97,64.95,18.40,81.71,125,
gorontalo - gorontalo utara,6,0.31,17.03,50.67,0.60,13.44,7.85,2.24,66.67,30.50,78.88,192,
gorontalo - kota gorontalo,6,0.00,5.64,9.89,0.00,3.53,10.58,0.04,73.25,23.60,86.50,41,
sulawesi barat - mamuju utara,3,5.00,4.79,21.29,0.43,17.14,8.51,4.10,67.33,27.90,57.34,362,
sulawesi barat - mamuju,6,0.81,7.57,12.87,1.09,24.96,8.31,2.25,68.66,32.80,81.47,129,
sulawesi barat - mamasa,5,0.58,14.31,25.18,0.94,70.51,8.58,2.49,71.45,37.60,73.19,274,
sulawesi barat - polewali mandar,6,0.52,16.08,32.06,0.30,30.23,8.01,0.90,63.20,28.10,75.87,240,
sulawesi barat - majene,4,2.92,14.54,26.36,0.05,9.18,9.66,0.77,62.56,30.50,65.80,328,
sulawesi barat - mamuju tengah,6,1.56,7.32,11.42,0.83,20.96,7.88,2.99,69.37,27.90,78.29,203,
maluku - maluku tengah,5,1.90,17.84,13.99,1.56,22.59,10.13,4.12,67.04,29.40,71.92,288,
maluku - maluku tenggara,2,5.00,21.79,6.00,1.14,32.96,9.74,1.27,65.78,34.00,49.43,382,
maluku - maluku tenggara barat,2,5.00,24.47,8.86,1.18,24.47,10.35,4.93,63.99,25.10,49.94,381,
maluku - buru,6,0.60,16.53,12.45,0.65,28.66,9.34,4.57,67.03,20.30,80.21,161,
maluku - seram bagian timur,5,0.88,21.08,12.56,9.09,39.59,8.88,4.38,60.46,27.50,70.57,301,
maluku - seram bagian barat,4,2.30,22.39,19.90,2.66,45.87,9.78,4.36,62.61,31.40,61.29,345,
maluku - kepulauan aru,2,5.00,24.21,15.84,34.10,30.55,9.43,11.36,63.57,40.60,43.15,394,
maluku - maluku barat daya,4,1.31,28.78,21.31,4.16,39.73,9.31,5.56,63.39,29.90,65.95,326,
maluku - buru selatan,3,4.35,15.28,20.34,6.53,36.60,8.92,4.08,66.96,35.50,53.32,371,
maluku - kota ambon,6,0.00,5.25,2.14,0.12,13.20,12.05,0.09,71.37,20.70,84.56,50,
maluku - kota tual,4,0.00,20.68,5.29,0.63,12.48,10.70,0.35,66.65,32.00,59.11,96,
maluku utara - halmahera barat,3,5.00,8.74,7.39,3.44,42.60,8.65,3.39,66.91,26.10,53.07,373,
